Year,system,District,Subject,Percent P/A
2015,985.0,Achievement School District,Algebra I,26.3
2014,985.0,Achievement School District,Algebra I,44.2
2013,985.0,Achievement School District,Algebra I,NA
2012,985.0,Achievement School District,Algebra I,NA
2011,985.0,Achievement School District,Algebra I,NA
2015,985.0,Achievement School District,Algebra II,NA
2014,985.0,Achievement School District,Algebra II,NA
2013,985.0,Achievement School District,Algebra II,NA
2012,985.0,Achievement School District,Algebra II,NA
2011,985.0,Achievement School District,Algebra II,NA
2015,985.0,Achievement School District,Biology I,24.5
2014,985.0,Achievement School District,Biology I,45.8
2013,985.0,Achievement School District,Biology I,NA
2012,985.0,Achievement School District,Biology I,NA
2011,985.0,Achievement School District,Biology I,NA
2015,985.0,Achievement School District,Chemistry,NA
2014,985.0,Achievement School District,Chemistry,NA
2013,985.0,Achievement School District,Chemistry,NA
2012,985.0,Achievement School District,Chemistry,NA
2011,985.0,Achievement School District,Chemistry,NA
2015,985.0,Achievement School District,English I,37.5
2014,985.0,Achievement School District,English I,55.3
2013,985.0,Achievement School District,English I,NA
2012,985.0,Achievement School District,English I,NA
2011,985.0,Achievement School District,English I,NA
2015,985.0,Achievement School District,English II,NA
2014,985.0,Achievement School District,English II,NA
2013,985.0,Achievement School District,English II,NA
2012,985.0,Achievement School District,English II,NA
2011,985.0,Achievement School District,English II,NA
2015,985.0,Achievement School District,English III,NA
2014,985.0,Achievement School District,English III,NA
2013,985.0,Achievement School District,English III,NA
2012,985.0,Achievement School District,English III,NA
2011,985.0,Achievement School District,English III,NA
2015,985.0,Achievement School District,Graduation Rate,0.0
2014,985.0,Achievement School District,Graduation Rate,NA
2013,985.0,Achievement School District,Graduation Rate,NA
2012,985.0,Achievement School District,Graduation Rate,NA
2011,985.0,Achievement School District,Graduation Rate,NA
2015,985.0,Achievement School District,Math,29.6
2014,985.0,Achievement School District,Math,20.6
2013,985.0,Achievement School District,Math,19.6
2012,985.0,Achievement School District,Math,16.3
2011,985.0,Achievement School District,Math,NA
2015,985.0,Achievement School District,ELA,12.7
2014,985.0,Achievement School District,ELA,15.3
2013,985.0,Achievement School District,ELA,13.6
2012,985.0,Achievement School District,ELA,18.1
2011,985.0,Achievement School District,ELA,NA
2015,985.0,Achievement School District,Science,28.2
2014,985.0,Achievement School District,Science,21.8
2013,985.0,Achievement School District,Science,24.2
2012,985.0,Achievement School District,Science,16.5
2011,985.0,Achievement School District,Science,NA
2015,171.0,Alamo City,Algebra I,NA
2014,171.0,Alamo City,Algebra I,NA
2013,171.0,Alamo City,Algebra I,NA
2012,171.0,Alamo City,Algebra I,NA
2011,171.0,Alamo City,Algebra I,NA
2015,171.0,Alamo City,Algebra II,NA
2014,171.0,Alamo City,Algebra II,NA
2013,171.0,Alamo City,Algebra II,NA
2012,171.0,Alamo City,Algebra II,NA
2011,171.0,Alamo City,Algebra II,NA
2015,171.0,Alamo City,Biology I,NA
2014,171.0,Alamo City,Biology I,NA
2013,171.0,Alamo City,Biology I,NA
2012,171.0,Alamo City,Biology I,NA
2011,171.0,Alamo City,Biology I,NA
2015,171.0,Alamo City,Chemistry,NA
2014,171.0,Alamo City,Chemistry,NA
2013,171.0,Alamo City,Chemistry,NA
2012,171.0,Alamo City,Chemistry,NA
2011,171.0,Alamo City,Chemistry,NA
2015,171.0,Alamo City,English I,NA
2014,171.0,Alamo City,English I,NA
2013,171.0,Alamo City,English I,NA
2012,171.0,Alamo City,English I,NA
2011,171.0,Alamo City,English I,NA
2015,171.0,Alamo City,English II,NA
2014,171.0,Alamo City,English II,NA
2013,171.0,Alamo City,English II,NA
2012,171.0,Alamo City,English II,NA
2011,171.0,Alamo City,English II,NA
2015,171.0,Alamo City,English III,NA
2014,171.0,Alamo City,English III,NA
2013,171.0,Alamo City,English III,NA
2012,171.0,Alamo City,English III,NA
2011,171.0,Alamo City,English III,NA
2015,171.0,Alamo City,Graduation Rate,NA
2014,171.0,Alamo City,Graduation Rate,NA
2013,171.0,Alamo City,Graduation Rate,NA
2012,171.0,Alamo City,Graduation Rate,NA
2011,171.0,Alamo City,Graduation Rate,NA
2015,171.0,Alamo City,Math,62.8
2014,171.0,Alamo City,Math,71.0
2013,171.0,Alamo City,Math,72.8
2012,171.0,Alamo City,Math,68.1
2011,171.0,Alamo City,Math,60.1
2015,171.0,Alamo City,ELA,53.5
2014,171.0,Alamo City,ELA,57.7
2013,171.0,Alamo City,ELA,66.4
2012,171.0,Alamo City,ELA,66.6
2011,171.0,Alamo City,ELA,59.8
2015,171.0,Alamo City,Science,74.6
2014,171.0,Alamo City,Science,75.7
2013,171.0,Alamo City,Science,76.8
2012,171.0,Alamo City,Science,76.6
2011,171.0,Alamo City,Science,68.4
2015,51.0,Alcoa City,Algebra I,82.2
2014,51.0,Alcoa City,Algebra I,76.5
2013,51.0,Alcoa City,Algebra I,77.5
2012,51.0,Alcoa City,Algebra I,76.4
2011,51.0,Alcoa City,Algebra I,61.9
2015,51.0,Alcoa City,Algebra II,76.8
2014,51.0,Alcoa City,Algebra II,66.2
2013,51.0,Alcoa City,Algebra II,84.4
2012,51.0,Alcoa City,Algebra II,62.8
2011,51.0,Alcoa City,Algebra II,NA
2015,51.0,Alcoa City,Biology I,88.0
2014,51.0,Alcoa City,Biology I,71.4
2013,51.0,Alcoa City,Biology I,90.3
2012,51.0,Alcoa City,Biology I,80.3
2011,51.0,Alcoa City,Biology I,69.0
2015,51.0,Alcoa City,Chemistry,66.0
2014,51.0,Alcoa City,Chemistry,66.5
2013,51.0,Alcoa City,Chemistry,NA
2012,51.0,Alcoa City,Chemistry,NA
2011,51.0,Alcoa City,Chemistry,NA
2015,51.0,Alcoa City,English I,85.6
2014,51.0,Alcoa City,English I,84.6
2013,51.0,Alcoa City,English I,82.0
2012,51.0,Alcoa City,English I,87.3
2011,51.0,Alcoa City,English I,81.3
2015,51.0,Alcoa City,English II,79.6
2014,51.0,Alcoa City,English II,78.2
2013,51.0,Alcoa City,English II,83.1
2012,51.0,Alcoa City,English II,75.6
2011,51.0,Alcoa City,English II,80.4
2015,51.0,Alcoa City,English III,67.2
2014,51.0,Alcoa City,English III,76.2
2013,51.0,Alcoa City,English III,68.2
2012,51.0,Alcoa City,English III,64.1
2011,51.0,Alcoa City,English III,NA
2015,51.0,Alcoa City,Graduation Rate,98.2
2014,51.0,Alcoa City,Graduation Rate,98.5
2013,51.0,Alcoa City,Graduation Rate,97.1
2012,51.0,Alcoa City,Graduation Rate,97.8
2011,51.0,Alcoa City,Graduation Rate,NA
2015,51.0,Alcoa City,Math,56.6
2014,51.0,Alcoa City,Math,54.7
2013,51.0,Alcoa City,Math,51.9
2012,51.0,Alcoa City,Math,48.5
2011,51.0,Alcoa City,Math,36.9
2015,51.0,Alcoa City,ELA,50.2
2014,51.0,Alcoa City,ELA,55.8
2013,51.0,Alcoa City,ELA,56.7
2012,51.0,Alcoa City,ELA,55.4
2011,51.0,Alcoa City,ELA,53.9
2015,51.0,Alcoa City,Science,65.2
2014,51.0,Alcoa City,Science,69.1
2013,51.0,Alcoa City,Science,67.9
2012,51.0,Alcoa City,Science,64.7
2011,51.0,Alcoa City,Science,60.3
2015,961.0,Alvin C. York Institute,Algebra I,79.5
2014,961.0,Alvin C. York Institute,Algebra I,72.8
2013,961.0,Alvin C. York Institute,Algebra I,75.3
2012,961.0,Alvin C. York Institute,Algebra I,67.9
2011,961.0,Alvin C. York Institute,Algebra I,49.4
2015,961.0,Alvin C. York Institute,Algebra II,69.8
2014,961.0,Alvin C. York Institute,Algebra II,50.3
2013,961.0,Alvin C. York Institute,Algebra II,48.8
2012,961.0,Alvin C. York Institute,Algebra II,36.2
2011,961.0,Alvin C. York Institute,Algebra II,NA
2015,961.0,Alvin C. York Institute,Biology I,70.4
