system,system_name,Alg I,Alg II,Bio I,Chemistry,ELA,Eng I,Eng II,Eng III,Math,Science,Enrollment,Black,Hispanic,Native American,English Learners,Students with Disabilities,Economically Disadvantaged,Per-Pupil Expenditures,Black/Hispanic/Native American,ACT Composite,Chronic Absence,Suspension Rate,Expulsion Rate,Graduation,Dropout,Alg I Growth,Alg II Growth,Bio I Growth,Chemistry Growth,ELA Growth,Eng I Growth,Eng II Growth,Eng III Growth,Math Growth,Science Growth,Region
0,State of Tennessee,70,54.3,65.3,44.2,48.4,71.8,64.8,41.7,54.7,64.5,943699,24.1,8.5,0.3,4.6,14,57.9,9374.9,32.9,19.4,13.2,6.2,0.2,87.2,8.4,3.3,6.4,1.8,6.5,-1.1,0.4,1.4,3.6,4.5,0.9,
10,Anderson County,76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,1.4,2.2,6.5,0.9,-2.2,-0.3,1.2,7,4.2,-2.3,East TN
11,Clinton City,,,,,58.3,,,,68.9,69.6,894,5.7,2.8,0.3,1,18.1,63.4,9537.5,8.8,,8.8,1.2,0,,,,,,,1.2,,,,5.2,0.1,East TN
12,Oak Ridge City,76.9,72,83.5,80.9,56.1,86.7,74.6,53.8,55.3,70.8,4326,16.6,8,0.7,3,14.3,52.5,12355.5,25.3,23.1,17.5,5.7,0,89.7,4.4,6.2,11.9,2,2.7,-2.6,3.4,-7.7,-1.6,0.3,-1.4,East TN
20,Bedford County,64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,2.6,1.6,5,3.3,-0.5,0.3,3.4,8.4,4.3,1.6,South Central
30,Benton County,73.7,58.4,77.1,33.1,46,75.4,60.8,45.6,53.9,65,2133,3.9,2.1,0.3,0,18.8,50.2,9714.2,6.3,18.4,6.5,0,0,94.5,3,12.9,18.3,5,4,1.4,7.1,-4.8,14.4,6.3,-3.5,Northwest
40,Bledsoe County,64.8,73.9,73,19.5,35.4,63.6,53.3,50,41.1,56.2,1674,1.5,6.8,0.6,2.3,19.7,83.5,9495.9,8.9,19.2,9.1,2.4,0.1,92.4,6.9,8.4,20.6,-3.7,-3.1,-5.1,2.7,-11,5.9,0.9,-4.3,Upper Cumberland
50,Blount County,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,1.5,5.8,-0.5,18.2,-4.5,-5.4,-3.7,7.5,-1.7,0.8,East TN
51,Alcoa City,82.2,76.8,88,66,50.2,85.5,79.6,67.2,56.6,65.1,1850,23.3,9.5,0.6,2.7,13,49.4,10320,33.4,22,4.7,3.1,0.1,98.2,0.9,5.7,10.6,16.6,-0.5,-5.6,0.9,1.4,-9,1.9,-4,East TN
52,Maryville City,83.8,77.3,92.1,80.4,69.6,89.9,82.7,68.1,70.2,87.1,4944,4.2,4,0.2,2.8,13.2,32.1,10161.2,8.4,23,2,2.7,0,96.6,3.1,-0.8,-0.6,6.5,5.7,-1.6,0.8,-0.5,0.4,1.2,0.9,East TN
60,Bradley County,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,-64.5,16.2,-2.5,29.8,0,2.1,0.5,3.1,10.6,0,Southeast
61,Cleveland City,62.7,41.6,51,47.3,46,71,61.3,48.7,51.4,58.9,5184,15,18.8,0.3,8.2,14.4,69.5,9239.2,34.1,18.9,15.3,7,0,84.1,12.3,-3.6,-17.8,-6.4,4.4,0.5,-3,-5.2,-0.7,4.1,2.3,Southeast
70,Campbell County,71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,17.8,0.6,2.4,2.1,-1.9,3.1,-1.3,12.9,5.4,2.9,East TN
80,Cannon County,,52.5,66.9,26,45.1,65.7,61.2,23.8,49.8,62.9,1944,1.7,2.3,0.3,0.5,16.2,55.3,8401.6,4.3,18.6,14.5,1.7,0,95.1,2.1,,9.3,7.8,10,4.2,-1.4,3.2,-10.5,5.6,-1.1,Upper Cumberland
92,Hollow Rock - Bruceton,78.3,62.2,50,35.9,36.8,76.2,47.4,42,47.5,62.5,623,9.4,2.3,0.3,0,20.9,76,8332.4,12,18,3.7,0.6,0,93.2,4.5,32.8,-12.8,-2.8,-1.3,-8.7,26.2,-3.5,14,0.4,7.4,Northwest
93,Huntingdon SSD,72.9,82.8,59.6,21.5,58,67.4,72.7,72.2,76.1,75,1193,18.4,1,0.2,0,18.1,45.2,8158.4,19.6,18.7,5.3,0.1,0.1,94.4,1.1,16.2,40.1,-13.8,-16.8,1.1,-12.9,10.6,25.3,8.7,5,Northwest
94,McKenzie SSD,77.8,68.1,70.8,64.2,56.1,74.8,75.6,59.8,64.3,74.4,1316,15.6,4.9,0.1,1.6,14.3,58.6,7756.1,20.6,20.1,2,1.2,0,97.1,1.9,3.5,10.2,-14.5,5.1,-0.5,-2.4,3.9,5.4,5.4,0,Northwest
95,South Carroll SSD,83.3,81.5,65.4,54.5,53.4,71.4,69,56.7,58.1,78.4,346,8.3,1.6,0,0.3,16.1,63.8,9253,9.9,17.8,9.1,0,0.3,96.6,3.4,1.2,52.9,-12.3,-21.7,-0.9,-3.6,-1,28.9,13.2,13.5,Northwest
97,West Carroll SSD,60.8,54.5,73.8,66,40.9,79.1,67.5,30.8,48.1,70,908,11.2,1.5,1.1,0,20.6,68.7,8573,13.8,18.9,17.4,2.1,0.6,90.7,5.3,2,13.5,2.2,30.8,-14.6,5.8,3.1,4.5,0.6,-5.9,Northwest
100,Carter County,0,,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,-65.4,,-2.1,8.4,-2.4,-1.2,9.6,10.7,8.2,5.5,First TN
101,Elizabethton City,77.8,59.4,83.8,39.1,56.7,79,67.6,56.6,63.1,78.3,2358,4.2,2,0.4,1,16.3,54.1,9537.4,6.6,21.4,13.8,3.2,0,96.6,2.9,7.5,8.5,62.1,-13.9,0.7,1.8,2,-2,8.5,5.6,First TN
110,Cheatham County,0,,73.3,53.1,46.4,75.5,57.7,47.9,55.7,66.4,6240,2.6,3.6,0.4,1.1,15.3,49.1,8412.6,6.6,20.8,13.4,5.8,0.1,91.2,5.9,-64.8,,2.8,11.2,-1.3,7.2,-13.6,1.2,5.9,-1.4,Mid Cumberland
120,Chester County,73.6,63.3,76.8,55.6,53.7,72.9,73.1,54.1,66.5,78,2774,13.8,3,0.5,0.1,10,40,7681.2,17.3,19.7,12.6,0,0,88.4,6.6,1.4,17.9,13.7,3.5,2.3,1.7,7.5,4.1,5,3.4,Southwest/Memphis
130,Claiborne County,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,3.8,0.9,-2.5,5.6,-2.8,6,4.5,6.2,1.8,-0.9,East TN
140,Clay County,68,81.4,65.8,31.8,33.5,60,57.9,35.9,40,54,1024,1.8,2.1,0.3,0.3,16.2,70.7,9237.5,4.2,18.4,9.8,0.5,0,96.8,1.6,-10.5,14.2,12.3,10.6,1.5,-13.4,10.6,7.6,5.1,3.6,Upper Cumberland
150,Cocke County,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,3.6,1.6,4.3,9.6,-2.4,-3.8,2.8,-1.5,6.2,4.3,First TN
